	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
101	7.7405842014647	48.584448473393	7.7388829371849	48.583585278819	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	5.0	0.0	1.0	2.0	0.0	1.0	5.0	4.0	7.0	9.0	5.0	11.0	13.0	15.0	6.0	10.0	11.0	12.0	10.0	10.0	9.0	11.0	8.0	5.0	5.0	13.0	6.0	9.0	6.0	11.0	3.0	4.0	7.0	9.0	8.0	3.0	12.0	11.0	12.0	11.0	12.0	9.0	4.0	8.0	12.0	8.0	13.0	10.0	2.0	7.0	13.0	9.0	23.0	20.0	11.0	8.0	18.0	11.0	16.0	4.0	7.0	6.0	1.0	5.0	4.0	3.0	4.0	4.0	4.0	2.0	6.0	1.0	4.0	3
1010	7.7359055795685	48.542916206107	7.7356783266749	48.542574348602	3.0	2.0	2.0	4.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	2.0	2.0	6.0	7.0	12.0	6.0	14.0	7.0	12.0	25.0	18.0	29.0	31.0	29.0	21.0	22.0	37.0	37.0	16.0	35.0	31.0	21.0	25.0	30.0	22.0	27.0	27.0	29.0	30.0	27.0	25.0	25.0	18.0	17.0	25.0	24.0	35.0	23.0	27.0	39.0	32.0	38.0	28.0	25.0	25.0	34.0	27.0	41.0	27.0	31.0	34.0	38.0	43.0	31.0	38.0	30.0	25.0	18.0	32.0	29.0	17.0	22.0	17.0	15.0	20.0	13.0	10.0	10.0	7.0	18.0	6.0	5.0	8.0	5.0	6.0	4.0	7.0	4
1011	7.7321058785746	48.532469376634	7.7322656774962	48.533105798934	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	2.0	1.0	4.0	1.0	3.0	3.0	3.0	6.0	8.0	10.0	13.0	12.0	8.0	18.0	7.0	4.0	13.0	10.0	10.0	8.0	11.0	4.0	10.0	10.0	15.0	12.0	14.0	19.0	11.0	7.0	13.0	11.0	11.0	21.0	10.0	14.0	17.0	11.0	9.0	14.0	19.0	17.0	29.0	21.0	12.0	33.0	10.0	21.0	19.0	27.0	15.0	26.0	13.0	19.0	7.0	20.0	12.0	9.0	12.0	9.0	9.0	10.0	5.0	4.0	3.0	1.0	3.0	0.0	1.0	3.0	1.0	0.0	1.0	1.0	1
1012	7.7325019071247	48.537756131349	7.7322017238797	48.535511197121	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	3.0	1.0	3.0	6.0	3.0	2.0	1.0	8.0	6.0	13.0	19.0	25.0	29.0	23.0	19.0	24.0	25.0	20.0	21.0	13.0	21.0	16.0	14.0	15.0	13.0	12.0	14.0	8.0	15.0	11.0	4.0	12.0	6.0	12.0	21.0	22.0	24.0	10.0	15.0	11.0	7.0	9.0	15.0	8.0	17.0	15.0	21.0	13.0	25.0	17.0	17.0	24.0	20.0	21.0	19.0	12.0	17.0	12.0	5.0	11.0	9.0	11.0	3.0	9.0	2.0	3.0	5.0	0.0	4.0	6.0	3.0	2.0	3.0	3.0	3.0	4.0	2
1013	7.7322988093467	48.529047630198	7.7316063537582	48.529536025307	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	6.0	1.0	7.0	6.0	4.0	8.0	11.0	14.0	13.0	17.0	17.0	6.0	9.0	7.0	3.0	7.0	8.0	16.0	8.0	8.0	8.0	6.0	17.0	20.0	10.0	7.0	10.0	6.0	10.0	13.0	16.0	12.0	8.0	28.0	12.0	9.0	8.0	7.0	11.0	11.0	9.0	9.0	11.0	9.0	12.0	14.0	14.0	13.0	8.0	11.0	3.0	7.0	9.0	10.0	12.0	4.0	15.0	7.0	4.0	4.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	0
1014	7.7317523945015	48.532071495724	7.7311938799089	48.529814831685	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	3.0	2.0	5.0	7.0	11.0	18.0	22.0	18.0	12.0	11.0	13.0	13.0	10.0	6.0	20.0	10.0	6.0	12.0	7.0	6.0	6.0	8.0	18.0	16.0	5.0	8.0	4.0	11.0	14.0	7.0	16.0	12.0	8.0	8.0	3.0	6.0	8.0	9.0	25.0	29.0	15.0	18.0	22.0	21.0	17.0	28.0	20.0	17.0	29.0	23.0	16.0	17.0	10.0	8.0	6.0	9.0	8.0	7.0	6.0	4.0	6.0	1.0	2.0	4.0	2.0	2.0	1.0	3.0	0.0	1.0	0
1015	7.7272553736179	48.529410230925	7.7283835142068	48.529179581612	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	6.0	1.0	3.0	11.0	5.0	24.0	39.0	21.0	22.0	18.0	17.0	16.0	15.0	13.0	13.0	8.0	4.0	12.0	13.0	11.0	10.0	8.0	18.0	21.0	13.0	6.0	9.0	12.0	15.0	17.0	11.0	9.0	3.0	5.0	7.0	8.0	9.0	16.0	20.0	22.0	15.0	14.0	22.0	24.0	7.0	13.0	23.0	23.0	17.0	10.0	4.0	10.0	4.0	6.0	6.0	6.0	8.0	8.0	4.0	5.0	3.0	0.0	2.0	2.0	0.0	8.0	3.0	2.0	1.0	1.0	2
1016	7.7319317347152	48.528898592768	7.7309418942163	48.528977913156	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	2.0	5.0	3.0	9.0	14.0	13.0	5.0	4.0	3.0	8.0	3.0	7.0	11.0	8.0	4.0	8.0	6.0	3.0	4.0	15.0	19.0	17.0	8.0	7.0	5.0	6.0	4.0	5.0	3.0	12.0	4.0	8.0	7.0	5.0	8.0	11.0	8.0	11.0	5.0	12.0	16.0	25.0	11.0	15.0	29.0	18.0	4.0	6.0	16.0	11.0	6.0	10.0	2.0	17.0	6.0	9.0	7.0	7.0	6.0	3.0	2.0	5.0	2.0	4.0	1.0	2.0	1.0	0.0	2
1017	7.7230046023774	48.530080937601	7.7266222500131	48.529510319181	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	2.0	4.0	7.0	6.0	3.0	1.0	3.0	5.0	1.0	7.0	6.0	5.0	3.0	13.0	3.0	5.0	7.0	7.0	17.0	23.0	12.0	10.0	6.0	8.0	4.0	7.0	10.0	3.0	1.0	6.0	11.0	4.0	6.0	14.0	9.0	13.0	13.0	6.0	6.0	8.0	13.0	19.0	16.0	17.0	7.0	14.0	8.0	16.0	1.0	8.0	4.0	7.0	2.0	8.0	4.0	3.0	6.0	3.0	1.0	6.0	0.0	1.0	0.0	5.0	1.0	0.0	1
1018	7.7266718836537	48.529712843288	7.723012249903	48.5302792592	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	3.0	0.0	4.0	2.0	10.0	12.0	18.0	12.0	11.0	20.0	10.0	9.0	14.0	10.0	12.0	8.0	10.0	4.0	7.0	6.0	8.0	3.0	3.0	6.0	3.0	2.0	8.0	2.0	8.0	10.0	6.0	4.0	8.0	5.0	5.0	7.0	4.0	9.0	4.0	12.0	11.0	5.0	15.0	8.0	5.0	10.0	12.0	8.0	12.0	5.0	6.0	4.0	3.0	3.0	2.0	1.0	1.0	2.0	3.0	2.0	2.0	4.0	4.0	1.0	1.0	2.0	1.0	2.0	0.0	0.0	0
